"Player","Team","Position","Over_Pass_Yards","Throw_TDs","Rec_Yards","Rec_TDs","Rush_Yards","Rush_TDs","xFP","xFP_per_game","Scheme_Balance","Position_Focus","Proj_Season_Pts","Percentile","Rookie"
"Derrick Henry","Baltimore Ravens","RB","","","","","1350.5","13.5","216.05","12.71","run-heavy","RB","452.5","","0"
"Bucky Irving","Tampa Bay Buccaneers","RB","","","","","1000.5","7.5","145.05","8.53","balanced","WR","425.5","","0"
"Omarion Hampton","Los Angeles Chargers","RB","","","","","850.5","","85.05","5.0","run-heavy","RB","403.5","94.7%","1"
"Ashton Jeanty","Las Vegas Raiders","RB","","","","","1050.5","7.5","150.05","8.83","balanced","RB","359.5","97.8%","1"
"TreVeyon Henderson","New England Patriots","RB","","","","","700.5","","70.05","4.12","pass-heavy","WR","389.5","92.6%","1"
"James Conner","Arizona Cardinals","RB","","","","","875.5","","87.55","5.15","balanced","TE","400.5","","0"
"Kenneth Walker III","Seattle Seahawks","RB","","","","","875.5","","87.55","5.15","pass-heavy","WR","389.5","","0"
"Tony Pollard","Tennessee Titans","RB","","","","","900.5","","90.05","5.3","balanced","RB","359.5","","0"
"RJ Harvey","Denver Broncos","RB","","","","","700.5","","70.05","4.12","pass-heavy","WR","403.5","","0"
"Brian Robinson Jr.","Washington Commanders","RB","","","","","700.5","","70.05","4.12","pass-heavy","WR","432.5","","0"

"Player","Position","Percentile"
"Quinshon Judkins","RB","93.3%"
"Kaleb Johnson","RB","84.4%"
"R.J. Harvey Jr.","RB","75.1%"
"Bhayhaul Tsuten","RB","74.7%"
"Cameron Skattebo","RB","66.5%"
"DJ Giddens","RB","64.3%"
"Dylan Sampson","RB","58.7%"
"Trevor Etienne","RB","55.4%"
"Jarquez Hunter","RB","53.1%"
"Devin Neal","RB","50.5%"
"Jordan James","RB","42.4%"
"Jo'Quavious Marks","RB","39.8%"
"Jaydon Blue","RB","38.7%"
"Ollie Gordon II","RB","35.3%"
"Damien Martinez","RB","33.1%"
"Tahj Brooks","RB","24.9%"
"Lequint Allen","RB","23.8%"
"Brashard Smith","RB","17.5%"
"Kalel Mullings","RB","11.9%"
"Kyle Monangai","RB","9.7%"
"Phil Mafah","RB","6.7%"
"Jacorry Croskey-Merritt","RB","4.8%"
"Emeka Egbuka","WR","90.6%"
"Luther Burden III","WR","86.5%"
"Kyle Williams","WR","72.8%"
"Tre Harris","WR","71.9%"
"Isaac TeSlaa","WR","67.3%"
"Jaylin Noel","WR","61%"
"Patrick Bryant","WR","58%"
"Jack Becht","WR","55.7%"
"Eli Ayomanor","WR","51.5%"
"Chimere Dike","WR","48.1%"
"Tal Faltion","WR","47.5%"
"Dont'e Thornton Jr.","WR","46.2%"
"Arian Smith","WR","42.6%"
"Savion Williams","WR","41.6%"
"Jalen Royals","WR","38.8%"
"Jaylin Lane","WR","38.1%"
"Tory Horton","WR","35.4%"
"Jordan Watkins","WR","32.7%"
"KeAndre Lambert-Smith","WR","29.9%"
"Ricky White","WR","20.5%"
"Tez Johnson","WR","19.6%"
"LaJohntay Wester","WR","18.3%"
"Konata Mumpfield","WR","13.1%"
